
--- RSI|VP-buy m1% (346 entries, 5457%) ---
  SELL | 2018-05-06 12:00 | $     9,537 | Cap: $    11,439 | RSI<30
   BUY | 2018-05-10 05:00 | $     9,350 | Cap: $    11,439 | RSI>75
  SELL | 2018-05-11 | $     9,002 | Cap: $    11,014 | RSI<30
   BUY | 2018-05-20 19:00 | $     8,531 | Cap: $    11,014 | RSI>75
  SELL | 2018-05-22 02:00 | $     8,274 | Cap: $    10,682 | RSI<30
   BUY | 2018-05-29 21:00 | $     7,499 | Cap: $    10,682 | RSI>75
  SELL | 2018-06-04 07:00 | $     7,579 | Cap: $    10,796 | RSI<30
   BUY | 2018-06-07 14:00 | $     7,699 | Cap: $    10,796 | RSI>75
  SELL | 2018-06-08 13:00 | $     7,552 | Cap: $    10,589 | RSI<30
   BUY | 2018-06-18 18:00 | $     6,726 | Cap: $    10,589 | VP>VAH+1%(7d)
  SELL | 2018-06-22 08:00 | $     6,500 | Cap: $    10,233 | RSI<30
   BUY | 2018-06-29 23:00 | $     6,247 | Cap: $    10,233 | RSI>75
  SELL | 2018-07-10 09:00 | $     6,582 | Cap: $    10,782 | RSI<30
   BUY | 2018-07-16 10:00 | $     6,528 | Cap: $    10,782 | RSI>75
  SELL | 2018-07-26 23:00 | $     7,917 | Cap: $    13,077 | RSI<30
   BUY | 2018-08-15 04:00 | $     6,290 | Cap: $    13,077 | RSI>75
  SELL | 2018-08-18 21:00 | $     6,357 | Cap: $    13,216 | RSI<30
   BUY | 2018-08-22 02:00 | $     6,809 | Cap: $    13,216 | RSI>75
  SELL | 2018-08-22 23:00 | $     6,351 | Cap: $    12,327 | RSI<30
   BUY | 2018-08-24 19:00 | $     6,632 | Cap: $    12,327 | VP>VAH+1%(7d)
  SELL | 2018-08-30 18:00 | $     6,867 | Cap: $    12,764 | RSI<30
   BUY | 2018-08-30 21:00 | $     6,916 | Cap: $    12,764 | VP>VAH+1%(7d)
  SELL | 2018-09-05 10:00 | $     7,092 | Cap: $    13,089 | RSI<30
