date,funding_rate,open_interest_usd
2020-01-01,-0.0001146866666666,0.0
2020-01-02,4.588666666666667e-05,0.0
2020-01-03,2.261e-05,0.0
2020-01-04,5.823666666666667e-05,0.0
2020-01-05,0.0001,0.0
2020-01-06,0.0001,0.0
2020-01-07,0.0001,0.0
2020-01-08,0.00010838,0.0
2020-01-09,0.0001,0.0
2020-01-10,0.0001,0.0
2020-01-11,0.0001261533333333,0.0
2020-01-12,0.0001,0.0
2020-01-13,0.0001,0.0
2020-01-14,0.000153,0.0
2020-01-15,0.0002629633333333,0.0
2020-01-16,0.0002755233333333,0.0
2020-01-17,0.0002725866666666,0.0
2020-01-18,0.0002375433333333,0.0
2020-01-19,0.0005061233333333,0.0
2020-01-20,0.00016828,0.0
2020-01-21,0.0001440733333333,0.0
2020-01-22,0.0001379733333333,0.0
2020-01-23,0.0002410133333333,0.0
2020-01-24,0.0003826366666666,0.0
2020-01-25,0.0001,0.0
2020-01-26,0.0001,0.0
2020-01-27,0.0001,0.0
2020-01-28,0.00044361,0.0
2020-01-29,0.0007473699999999,0.0
2020-01-30,0.0002777633333333,0.0
2020-01-31,0.0005685433333333,0.0
2020-02-01,0.0006323666666666,0.0
2020-02-02,0.00042901,0.0
2020-02-03,0.00035513,0.0
2020-02-04,0.0006397466666666,0.0
2020-02-05,0.0002421033333333,0.0
2020-02-06,0.0009932933333333,0.0
2020-02-07,0.0002998666666666,0.0
2020-02-08,0.0006736266666666,0.0
2020-02-09,0.0007942366666666,0.0
2020-02-10,0.00109891,0.0
2020-02-11,0.0005296866666666,0.0
2020-02-12,0.0017064633333333,0.0
2020-02-13,0.0008279,0.0
2020-02-14,0.00064575,0.0
2020-02-15,0.00081114,0.0
2020-02-16,0.00049674,0.0
2020-02-17,0.0006507166666666,0.0
2020-02-18,0.00023527,0.0
2020-02-19,0.0004188,0.0
2020-02-20,0.0001,0.0
2020-02-21,0.0001,0.0
2020-02-22,0.0001074766666666,0.0
2020-02-23,0.0004466033333333,0.0
2020-02-24,0.0002445366666666,0.0
2020-02-25,0.00035567,0.0
2020-02-26,0.0004182,0.0
2020-02-27,0.0001245433333333,0.0
2020-02-28,0.0001508766666666,0.0
2020-02-29,0.00061349,0.0
2020-03-01,0.0003609433333333,0.0
2020-03-02,0.0001290666666666,0.0
2020-03-03,0.0001,0.0
2020-03-04,0.00014776,0.0
2020-03-05,0.0001766733333333,0.0
2020-03-06,0.00025946,0.0
2020-03-07,0.0003475866666666,0.0
2020-03-08,0.0004911766666666,0.0
2020-03-09,0.0001,0.0
2020-03-10,0.0001,0.0
2020-03-11,0.0001429933333333,0.0
2020-03-12,1.8076666666666662e-05,0.0
2020-03-13,-0.0012715033333333,0.0
2020-03-14,-0.0004389733333333,0.0
2020-03-15,-0.00050297,0.0
2020-03-16,-0.0005183766666666,0.0
2020-03-17,-0.0001269466666666,0.0
